Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
105,VK2RTS 2 Lawsn2,147.3250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RTS 2 Lawsn2,,VK2RTS 2,
106,VK2RTZ 2 SugarL,146.7750,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RTZ 2 SugarL,,VK2RTZ 2,
107,VK2RWH 2 Nwcsle,147.1500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWH 2 Nwcsle,,VK2RWH 2,
108,VK2RWK 2 KurraJ,147.1500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWK 2 KurraJ,,VK2RWK 2,
109,VK2RWR 2 Moona,147.0750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWR 2 Moona,,VK2RWR 2,
110,VK2RAI 7 Booral,439.2750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAI 7 Booral,,VK2RAI 7,
111,VK2RCN 7 TelePt,438.4250,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RCN 7 TelePt,,VK2RCN 7,
112,VK2REE 7 Mt Ganghat,438.3250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2REE 7 Mt Ganghat,,VK2REE 7,
113,VK2RHK 7 Wyee,438.1250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RHK 7 Wyee,,VK2RHK 7,
114,VK2RMY 7 YarahP,438.0750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RMY 7 YarahP,,VK2RMY 7,
115,VK2RNC 7 SgarL,438.0250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNC 7 SgarL,,VK2RNC 7,
116,VK2RNCA7 SgarL1,438.6750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RNCA7 SgarL1,,VK2RNCA7,
117,VK2ROJ 7 Bolwarra Heights,439.7000,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2ROJ 7 Bolwarra Heights,,VK2ROJ 7,
118,VK2RPL 7 Nardi,438.6750,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RPL 7 Nardi,,VK2RPL 7,
119,VK2RPM 7 MdlBro,438.5250,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RPM 7 MdlBro,,VK2RPM 7,
120,VK2RSC 7 Lismor,439.9500,-,5.000,TSQL,123,123,023,NN,FM,5.00,S,VK2RSC 7 Lismor,,VK2RSC 7,
121,VK2RUM 7 Merewether,438.6250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RUM 7 Merewether,,VK2RUM 7,
122,VK2RWH 7 Nwcsle,439.6250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RWH 7 Nwcsle,,VK2RWH 7,
123,VK2RWK 7 KurraJ,439.8250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWK 7 KurraJ,,VK2RWK 7,
124,VK1RWN C Isaacs Ridge,146.6625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK1RWN C Isaacs Ridge,CQCQCQ,VK1RWN C,VK1RWN G
125,VK1RAC 2 Tidbin,146.9000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK1RAC 2 Tidbin,,VK1RAC 2,
126,VK1RBH 2 BullsH,147.1750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK1RBH 2 BullsH,,VK1RBH 2,
127,VK1RBM 2 Issacs,146.7250,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RBM 2 Issacs,,VK1RBM 2,
128,VK1RGI 2 Ginini,146.9500,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RGI 2 Ginini,,VK1RGI 2,
129,VK2RAD 2 SHill,146.7250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RAD 2 SHill,,VK2RAD 2,
130,VK2RAO 2 Cbolas,146.7000,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAO 2 Cbolas,,VK2RAO 2,
131,VK2RAP 2 AcacPl,147.2750,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RAP 2 AcacPl,,VK2RAP 2,
132,VK2RAY 2 Albury,147.2250,+,0.600,TSQL,118.8,118.8,023,NN,FM,5.00,S,VK2RAY 2 Albury,,VK2RAY 2,
133,VK2RBE 2 Bethun,146.7750,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RBE 2 Bethun,,VK2RBE 2,
134,VK2RBH 2 Darlng,147.0000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBH 2 Darlng,,VK2RBH 2,
135,VK2RBK 2 NomTop,146.7750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBK 2 NomTop,,VK2RBK 2,
136,VK2RBL 2 Balran,146.7250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBL 2 Balran,,VK2RBL 2,
137,VK2RBR 2 Tabulm,146.7750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBR 2 Tabulm,,VK2RBR 2,
138,VK2RCC 2 NeedlMn,146.8000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCC 2 NeedlMn,,VK2RCC 2,
139,VK2RCD 2 BurroH,146.7250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCD 2 BurroH,,VK2RCD 2,
140,VK2RCW 2 Lindsy,147.2000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCW 2 Lindsy,,VK2RCW 2,
141,VK2RDX 2 Bindo,146.6500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RDX 2 Bindo,,VK2RDX 2,
142,VK2RGA 2 Galore,146.8250,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RGA 2 Galore,,VK2RGA 2,
143,VK2RGF 2 SqrNob,146.8500,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RGF 2 SqrNob,,VK2RGF 2,
144,VK2RGN 2 MtGray,146.6250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGN 2 MtGray,,VK2RGN 2,
145,VK2RLH 2 SBark,146.6750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RLH 2 SBark,,VK2RLH 2,
