Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Vibrator,Fav,SYDCBD,VK2Sth,VK2Nth,VK2West,WICEN,MELCBD,VK3,VK4SE,VK4,VK5-8,VK6,VK7,APRS,Test,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,Marine Fav,Marine,Comment,User CTCSS,S-Meter Squelch,Bell,
81,147.1500,147.7500,0.600 MHz,PLUS,FM,VK2RWH 2 Nwcsle ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RWH 2 Nwcsle Newcastle,,,
82,147.1500,147.7500,0.600 MHz,PLUS,FM,VK2RWK 2 KurraJ ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RWK 2 KurraJ Kurrajong Heights,,,
83,147.0750,147.6750,0.600 MHz,PLUS,FM,VK2RWR 2 Moona M,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RWR 2 Moona Moona Trig,,,
84,439.2750,434.2750,5.000 MHz,MINUS,FM,VK2RAI 7 - Boora,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RAI 7 - Booral,,,
85,438.4250,433.4250,5.000 MHz,MINUS,FM,VK2RCN 7 TelePt ,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RCN 7 TelePt Telegraph Point,,,
86,438.3250,433.3250,5.000 MHz,MINUS,FM,VK2REE 7 - Mt Ga,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2REE 7 - Mt Ganghat,,,
87,438.1250,433.1250,5.000 MHz,MINUS,FM,VK2RHK 7 - Wyee,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RHK 7 - Wyee,,,
88,438.1250,433.1250,5.000 MHz,MINUS,FM,VK2RMG 7 - Bruxn,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RMG 7 - Bruxner Park,,,
89,438.0750,433.0750,5.000 MHz,MINUS,FM,VK2RMY 7 YarahP ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RMY 7 YarahP Mt Yarrahapinni,,,
90,438.0250,433.0250,5.000 MHz,MINUS,FM,VK2RNC 7 SgarL M,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RNC 7 SgarL Mt Sugarloaf,,,
91,438.6750,433.6750,5.000 MHz,MINUS,FM,VK2RNCA7 SgarL1 ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RNCA7 SgarL1 Mt Sugarloaf,,,
92,439.7000,434.7000,5.000 MHz,MINUS,FM,VK2ROJ 7 - Bolwa,T Sql,91.5,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2ROJ 7 - Bolwarra Heights,,,
93,438.6750,433.6750,5.000 MHz,MINUS,FM,VK2RPL 7 Nardi M,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RPL 7 Nardi Mt Nardi,,,
94,438.5250,433.5250,5.000 MHz,MINUS,FM,VK2RPM 7 MdlBro ,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RPM 7 MdlBro Middle Brother,,,
95,439.9500,434.9500,5.000 MHz,MINUS,FM,VK2RSC 7 Lismor ,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RSC 7 Lismor Parrots Nest,,,
96,438.6250,433.6250,5.000 MHz,MINUS,FM,VK2RUM 7 - Merew,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RUM 7 - Merewether,,,
97,439.6250,434.6250,5.000 MHz,MINUS,FM,VK2RWH 7 Nwcsle ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RWH 7 Nwcsle Newcastle,,,
98,439.8250,434.8250,5.000 MHz,MINUS,FM,VK2RWK 7 KurraJ ,T Sql,91.5,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RWK 7 KurraJ Kurrajong,,,
99,146.9000,146.3000,0.600 MHz,MINUS,FM,VK1RAC 2 Tidbin ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK1RAC 2 Tidbin Tidbinbilla,,,
100,147.1750,147.7750,0.600 MHz,PLUS,FM,VK1RBH 2 BullsH ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK1RBH 2 BullsH Bulls Head,,,
101,146.7250,146.1250,0.600 MHz,MINUS,FM,VK1RBM 2 Issacs ,T Sql,91.5,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK1RBM 2 Issacs Isaacs Ridge,,,
102,146.9500,146.3500,0.600 MHz,MINUS,FM,VK1RGI 2 Ginini ,T Sql,91.5,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK1RGI 2 Ginini Mt Ginini,,,
103,146.7250,146.1250,0.600 MHz,MINUS,FM,VK2RAD 2 SHill S,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RAD 2 SHill South Hill,,,
104,146.7000,146.1000,0.600 MHz,MINUS,FM,VK2RAO 2 Cbolas ,T Sql,91.5,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RAO 2 Cbolas Mt Canobolas,,,
105,147.2750,147.8750,0.600 MHz,PLUS,FM,VK2RAP 2 AcacPl ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RAP 2 AcacPl Acacia Plateau,,,
106,147.2250,147.8250,0.600 MHz,PLUS,FM,VK2RAY 2 Albury ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RAY 2 Albury Albury,,,
107,146.7750,146.1750,0.600 MHz,MINUS,FM,VK2RBE 2 Bethun ,T Sql,91.5,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RBE 2 Bethun Mt Bethungra,,,
108,147.0000,146.4000,0.600 MHz,MINUS,FM,VK2RBH 2 Darlng ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RBH 2 Darlng Mt Darling,,,
109,146.7750,146.1750,0.600 MHz,MINUS,FM,VK2RBK 2 NomTop ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RBK 2 NomTop Noumea Tops,,,
110,146.7250,146.1250,0.600 MHz,MINUS,FM,VK2RBL 2 Balran ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RBL 2 Balran Balranald,,,
111,146.7750,146.1750,0.600 MHz,MINUS,FM,VK2RBR 2 Tabulm ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RBR 2 Tabulm Tabulam,,,
112,146.8000,146.2000,0.600 MHz,MINUS,FM,VK2RCC 2 NeedlMn,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RCC 2 NeedlMn Needle Mountain,,,
113,146.7250,146.1250,0.600 MHz,MINUS,FM,VK2RCD 2 BurroH ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RCD 2 BurroH Burroway Hill,,,
114,147.2000,147.8000,0.600 MHz,PLUS,FM,VK2RCW 2 Lindsy ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RCW 2 Lindsy Mt Lindsay,,,
115,146.6500,146.0500,0.600 MHz,MINUS,FM,VK2RDX 2 Bindo M,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RDX 2 Bindo Mt Bindo,,,
116,146.8250,146.2250,0.600 MHz,MINUS,FM,VK2RGA 2 Galore ,T Sql,91.5,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RGA 2 Galore Mt Galore,,,
117,146.8500,146.2500,0.600 MHz,MINUS,FM,VK2RGF 2 SqrNob ,T Sql,91.5,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RGF 2 SqrNob Mt Square Knob,,,
118,146.6250,146.0250,0.600 MHz,MINUS,FM,VK2RGN 2 MtGray ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RGN 2 MtGray Mt Gray,,,
119,146.6750,146.0750,0.600 MHz,MINUS,FM,VK2RLH 2 SBark S,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RLH 2 SBark Stringybark Hill,,,
120,146.8750,146.2750,0.600 MHz,MINUS,FM,VK2RLJ 2 Prishr ,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RLJ 2 Prishr Back Perisher Mtn,,,
121,146.6500,146.0500,0.600 MHz,MINUS,FM,VK2RMI 2 THiHi T,None,-,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,VK2RMI 2 THiHi Terry Hie Hie,,,
