Call,freq,offset,ctcss,type,location,longditude,latitude,height,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank
VK3RTN,53.6750,-1,,FM,Mt Gordon,145.7123689,-37.51596865,0,QF22ul56le,641074,229.3,223.3,73410.1,1271403.2,5,
VK3RTU,439.5250,-5,,FM,Mt Taylor,147.5608071,-37.70561498,0,QF32sh70hp,538438,216.7,208.5,228651.4,1205695.1,5,
VK3RTV,446.500,803.5,,ATV,Olinda,145.36636,-37.85392842,0,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
VK3RTV,446.500,808.5,,ATV,Olinda,145.36636,-37.85392842,0,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
VK3RTV,446.500,831.5,,ATV,Olinda,145.36636,-37.85392842,0,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
VK3RTV,446.500,9963.5,,ATV,Olinda,145.36636,-37.85392842,0,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
VK3RUG,438.1750,-5,,FM,Devil's River,145.8416087,-37.20926566,0,QF22ws09xs,611579,231.2,225.0,102212.3,1236959.7,5,
VK3RVL,147.0500,0.6,,FM,Robinvale,142.7698951,-34.58748392,0,QF15jj29ja,781296,261.8,260.0,408987.0,1230047.7,5,
VK3RWA,147.1000,0.6,91.5Hz,FM,Ben Nevis,143.2010938,-37.22842369,0,QF12os45de,815742,240.5,236.8,169286.7,1389178.1,5,
VK3RWD,438.5750,-5,91.5Hz,FM,Drouin,145.8181877,-38.14430497,0,QF21vu85ei,678916,224.1,218.2,83099.1,1324179.8,5,
VK3RWG,147.2250,0.6,,FM,Mt Baw Baw,146.2748305,-37.83833516,0,QF32dd28xt,626415,223.9,217.4,114953.5,1274045.3,5,
VK3RWG,438.3750,-5,,FM,Mt Baw Baw,146.2748305,-37.83833516,0,QF32dd28xt,626415,223.9,217.4,114953.5,1274045.3,5,
VK3RWL,147.0500,0.6,,FM,Mt Warrnambool,142.7378532,-38.30493644,0,QF11iq86nt,907310,234.7,231.1,203290.0,1503849.4,5,
VK3RWL,439.8750,-5,,FM,Mt Warrnambool,142.7378532,-38.30493644,0,QF11iq86nt,907310,234.7,231.1,203290.0,1503849.4,5,
VK3RWM,146.8500,-0.6,,FM,Mt Arapiles,141.8359411,-36.75231676,0,QF03wf09hk,909887,246.8,244.0,301803.8,1442785.7,5,
