Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes
146.7250,146.1250,VK3RYV,Briart,Briarty Hill,Yarra Valley,O,25,421,2.5,3YVG,-,
146.7500,146.1500,VK3RBA,Bunyng,Mt Buninyong,Ballarat,O,15,750,3,3WI,91.5,
146.7750,146.1750,VK3RAG,Renies,Rennies Hill,Alexandra,O,50,480,2.5,3JFK,123,14
146.8000,146.2000,VK3RLV,Tassie,Mt Tassie,Latrobe Valley,O,80,730,2.5,3WI,-,37
146.8000,146.2000,VK3RMA,Mildra,Mildura,Mildura City,O,50,50,3,3WI,-,56
146.8250,146.2250,VK3RAJ,Upwey,Upwey,Melbourne E/SE,O,50,270,3,3AJ,94.8,104
146.8250,146.2250,VK3RPL,Portld,Portland,Portland,O,200,100,3,3AJ,91.5,104
146.8500,146.2500,VK3RDU,Major,Mt Major,Goulburn Valley,O,80,377,2.5,3WI,-,
146.8500,146.2500,VK3RMN,KLake,Kinglake,Melbourne,O,80,600,3,VWN,91.5,39
146.8500,146.2500,VK3RWM,Arapls,Mt Arapiles,Horsham,O,30,-,2.5,3WI,-,
146.8750,146.2750,VK3RGH,GreenH,Green Hill,Macedon R & Melb,O,100,600,3,3HF,91.5,
146.9000,146.3000,VK3REB,MntNow,Mt Nowa Nowa,Bairnsdale,O,30,354,2.5,3EGC,-,35
146.9250,146.3250,VK3RPW,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWE,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWI,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWR,-,portable,Statewide WICEN,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWP,-,portable,Statewide WICEN,O,20,-,-,3WI,-,
146.9500,146.3500,VK3RWZ,Wiliam,Mt William,Grampians,O,50,1170,2.5,3WI,91.5,
146.9750,146.3750,VK3RRC,RdlsCk,Riddells Creek,Riddells Creek (Scouts),O,-,-,-,VSA,-,
146.9750,146.3750,VK3RSR,-,portable,Statewide,O,20,-,-,VSA,-,40
147.0000,146.4000,VK3RGL,Anakie,Mt Anakie,Geelong,O,45,400,3,3ATL,91.5,
147.0000,146.4000,VK3RNE,BigBen,Mt Big Ben,Wodonga,O,100,1158,2.5,3WI,-,36
147.0250,147.6250,VK3RGS,-,Mt Fatigue,Foster 6/15,X,60,-,2.5,3WI,123,37
147.0250,147.6250,VK3RMK,Kerang,Mt Kerang,Charlton,O,25,385,-,3WI,-,
147.0500,147.6500,VK3RHO,Hotham,Mt Hotham,NE Victoria,O,30,-,2.5,3WI,-,
147.0500,147.6500,VK3RVL,RobinV,Robinvale,Robinvale,O,40,-,3,3RSG,-,56
147.0500,147.6500,VK3RWL,Warnum,Mt Warrnambool,Warrnambool,O,40,-,0.5,3WI,-,
147.0750,147.6750,VK3RCR,Dande,Mt Dandenong,Melbourne,O,100,600,-,3VW,-,
147.1000,147.7000,VK3RPB,Bright,Mt Porepunkah,Bright,O,5,-,2.5,3WI,-,36
147.1000,147.7000,VK3RSG,BassH,Bass Hill,South Gippsland,O,40,-,3,3WI,-,
147.1000,147.7000,VK3RWA,BenNev,Ben Nevis,Ararat,O,30,876,2.5,3WI,91.5,
147.1250,147.7250,VK3RDG,Delegt,Mt Delegate,Delegate,O,-,-,-,3WI,-,
147.1250,147.7250,VK3RGC,MoPell,Montpellier,Geelong,O,45,160,3,3ATL,91.5,
147.1500,147.7500,VK3RCV,Alex,Mt Alexander,Bendigo,O,20,730,3,3WI,-,
147.1500,147.7500,VK3REM,MarHil,Maramingo Hill,Mallacoota WICEN 7/15,X,30,388,2.5,3EGC,-,35
147.1750,147.7750,VK3REC,Olind1,Olinda,Melbourne,O,40,600,2.5,3ER,-,
147.2000,147.8000,VK3RBQ,Dimbol,Dimboola,Wimmera,O,25,160,-,3KAY,-,
147.2000,147.8000,VK3RPS,Cotrel,Mt Cottrell,Melb West EchoL/IRLP,O,150,217,3,3HF,91.5,103
147.2250,147.8250,VK3RWG,BawSq,Mt Baw Baw,West Gippsland,O,20,1563,2.5,3WI,-,
147.2500,147.8500,VK3RMM,Macdon,Mt Macedon,Melbourne WICEN,O,100,1011,2.5,3WI,-,
147.2750,147.8750,VK3RMP,Caveat,Caveat,North Central 6/15,P,100,670,3,VSA,91.5,
147.2750,147.8750,VK3ROW,BeechF,Beech Forest,Otway Ranges 6/15,X,45,550,3,3ATL,91.5,
147.3000,147.9000,VK3RWE,-,portable,Statewide WICEN,O,-,-,-,3WI,-,
147.3000,147.9000,VK3RWR,-,portable,Statewide WICEN,O,-,-,-,3WI,-,
147.3000,147.9000,VK3RWP,-,portable,Statewide WICEN,O,20,-,-,3WI,-,
147.3250,147.9250,VK3RMC,NarWar,Narre Warren Nth,Melbourne SE,O,50,-,-,3APC,-,
147.3500,147.9500,VK3RMS,Olind2,Olinda,Melbourne East,O,-,600,-,3WI,-,
147.3750,147.9750,VK3RMU,StLeo,Mt St Leonard,Melbourne,O,-,1028,2.5,3WI,91.5,
147.4250,147.4250,VK3RFY,Hillsd,Hillside,Melb West EchoL/IRLP,O,100,145,-,3HF,91.5,38,99
,,,,,,,,,,,,{{2M;FM;VK4}}
145.6250,145.6250,VK4RKC,-,Oceanview,Brisbane North SSTV,O,100,530,-,4KI,-,41
146.6250,146.0250,VK4RCC,-,Oceanview,Brisbane North,O,-,-,-,4QD,-,
146.6250,146.0250,VK4RGT,-,Maurice Hill,Gladstone City,O,83,212,2,QGL,91.5,
146.6500,146.0500,VK4ROM,-,Grafton Range,Roma,O,30,550,-,4ROM,-,
146.6500,146.0500,VK4RHB,-,Booral,Hervey Bay,O,25,135,3,4CHB,-,
146.6750,146.0750,VK4RET,-,Mt Kiangarow,S Burnet & D/Downs,O,60,1145,5,4BAD,91.5,58
146.6750,146.0750,VK4RHT,-,Hann Tableland,Atherton Tablelands,O,100,965,4,4WAT,-,
146.6750,146.0750,VK4RSA,-,Sarina,Mackay,O,25,400,4,4RM,-,
146.7000,146.1000,VK4RAR,-,Mt Archer,Rockhampton,O,50,608,4,4WIR,91.5,
146.7000,146.1000,VK4RAT,-,Mt Stuart,Townsville,O,50,584,10,4WIT,-,
146.7000,146.1000,VK4RGC,-,Springbrook,Gold Coast,O,150,1010,4,4WIG,123,48
146.7000,146.1000,VK4RMI,-,Four Mile Hill,Mount Isa,O,20,500,3.5,4RMI,-,
146.7250,146.1250,VK4RCM,GymSth,Mt Boulder,Gympie Southern,O,20,505,4,4GYM,91.5,
146.7250,146.1250,VK4RKP,-,Mt Crosby,Ipswich,O,20,-,-,4AKP,-,
146.7500,146.1500,VK4RDD,-,O'Rourke's House,Toowoomba,O,35,702,4,4WID,-,
146.7500,146.1500,VK4RPU,-,Mt Perry,Monto,O,-,-,-,4PU,-,
146.7750,146.1750,VK4RBM,-,Blue Mtn,Mackay,O,25,400,4,4WIM,91.5,42
146.7750,146.1750,VK4RGN,GymNth,Mt Kanigan,Gympie Northern,O,25,366,4,4GYM,91.5,
146.8000,146.2000,VK4RBU,MtGoon,Mt Goonaneman,Bundaberg/Maryborough,O,20,620,4,4BW,-,44
146.8000,146.2000,VK4RMP,-,Midge Point,Proserpine,O,-,-,-,4RM,-,49
146.8250,146.2250,VK4RCR,-,Braeside,Warwick/Stanthorpe,O,60,916,5,4AGJ,91.5,
146.8250,146.2250,VK4RSL,-,Noosa Heads,Sunshine Coast North,O,25,100,4.5,4WIS,91.5,45
146.8250,146.2250,VK4RSP,-,Roddas Lookout,Springsure,O,100,-,-,4WCH,-,49
146.8500,146.2500,VK4RSC,-,Wilkes Knob,Sunshine Coast South,O,15,470,4.5,4WIS,91.5,45
146.8750,146.2750,VK4RAS,-,Carborough Range,Moranbah,O,50,450,3,4WCH,-,49
146.8750,146.2750,VK4RBS,-,Alexandra Hills,Redlands,O,25,70,3.5,4BAY,-,
146.9000,146.3000,VK4RAI,-,The Knobby,Ipswich,O,70,120,4.5,4WIP,-,47
146.9000,146.3000,VK4RGA,-,Kroombit Tops,Central Qld,O,83,1010,4,QGL,91.5,44,49
146.9250,146.3250,VK4RHR,-,Hodgson Range,W Central Highlands,O,25,520,-,4WCH,-,49
146.9250,146.3250,VK4RRC,-,Wamuran,Redcliffe,O,25,230,5,4RC,-,
146.9500,146.3500,VK4RBD,-,Blackdown Tableland,Blackwater,O,100,900,-,4WCH,91.5,49
146.9500,146.3500,VK4RBQ,-,Mt Coot-tha,Brisbane 9/15,X,120,-,4,4WIG,91.5,48
146.9500,146.3500,VK4RCA,-,Mt Haren,Cairns,O,50,500,4,4HM,-,
146.9500,146.3500,VK4REG,-,Mt Mowbullan,Bunya Mtns,O,75,1700,5,4JV,91.5,
146.9750,146.3750,VK4RRR,-,Mt Seaview,N Central Highlands,O,50,-,3,4WCH,-,49
146.9750,146.3750,VK4RLW,-,O'Briens Mtn,Logan/Bdesert,O,25,800,5,4OD,91.5,
147.0000,146.4000,VK4RBN,-,Mt Glorious,Brisbane,O,60,-,2,4RC,91.5,94
147.0000,146.4000,VK4RCQ,-,Banana Range,Monto,O,-,-,-,4RCQ,-,
147.0000,146.4000,VK4RMK,-,Mt Blackwood,Mackay,O,25,320,5,4WIM,-,42
147.0750,147.6750,VK4RAX,-,Mt Cotton,Brisbane South,O,50,-,-,4WSS,-,95
147.0750,147.6750,VK4REP,-,Middlemount,Middlemount 1/16,T,83,-,-,4WCH,-,95,49
147.1000,147.7000,VK4RBP,-,Butchers Creek,Atherton Tableland,O,25,600,4,4FUY,-,95
147.1250,147.7250,VK4RMM,-,Stanthorpe,Stanthorpe,O,-,-,-,4BRC,-,95
147.1500,147.7500,VK4RAG,-,Spring Hill,Brisbane WICEN,O,80,90,3.5,4BWI,-,95
147.1500,147.7500,VK4RWI,-,portable,Statewide WICEN 6/15,P,-,-,-,QWN,-,95
147.1750,147.7750,VK4RWM,-,North Ipswich,Ipswich WICEN,O,10,-,4,4WIP,-,95
147.2500,147.8500,VK4RED,-,Dalby,Dalby,O,60,-,5,4BAD,-,95
147.2750,147.8750,VK4RNL,-,Hervey Bay,N. Sunshine Coast,O,25,90,5,4NL,-,95
147.3750,147.9750,VK4RGA,-,Kroombit Tops,Central Qld,O,83,1010,4,QGL,91.5,49,95
